time_ms,speed_rpm,time_s,input_norm,output_norm
10,0.0,0.0,0.6862745098039216,0.0
632,17.14,0.01,0.6862745098039216,0.16663426015944002
642,0.0,0.02,0.6862745098039216,0.0
652,17.14,0.03,0.6862745098039216,0.16663426015944002
662,34.29,0.04,0.6862745098039216,0.33336573984056
672,17.14,0.05,0.6862745098039216,0.16663426015944002
683,51.43,0.06,0.6862745098039216,0.5
693,34.29,0.07,0.6862745098039216,0.33336573984056
703,51.43,0.08,0.6862745098039216,0.5
713,51.43,0.09,0.6862745098039216,0.5
723,51.43,0.1,0.6862745098039216,0.5
733,51.43,0.11,0.6862745098039216,0.5
743,68.57,0.12,0.6862745098039216,0.6666342601594399
753,68.57,0.13,0.6862745098039216,0.6666342601594399
763,68.57,0.14,0.6862745098039216,0.6666342601594399
773,68.57,0.15,0.6862745098039216,0.6666342601594399
783,85.71,0.16,0.6862745098039216,0.83326852031888
793,68.57,0.17,0.6862745098039216,0.6666342601594399
803,85.71,0.18,0.6862745098039216,0.83326852031888
813,68.57,0.19,0.6862745098039216,0.6666342601594399
823,85.71,0.2,0.6862745098039216,0.83326852031888
833,85.71,0.21,0.6862745098039216,0.83326852031888
843,85.71,0.22,0.6862745098039216,0.83326852031888
854,85.71,0.23,0.6862745098039216,0.83326852031888
864,85.71,0.24,0.6862745098039216,0.83326852031888
874,85.71,0.25,0.6862745098039216,0.83326852031888
884,85.71,0.26,0.6862745098039216,0.83326852031888
894,102.86,0.27,0.6862745098039216,1.0
904,68.57,0.28,0.6862745098039216,0.6666342601594399
914,85.71,0.29,0.6862745098039216,0.83326852031888
924,102.86,0.3,0.6862745098039216,1.0
934,85.71,0.31,0.6862745098039216,0.83326852031888
944,85.71,0.32,0.6862745098039216,0.83326852031888
954,85.71,0.33,0.6862745098039216,0.83326852031888
964,85.71,0.34,0.6862745098039216,0.83326852031888
974,102.86,0.35000000000000003,0.6862745098039216,1.0
984,68.57,0.36,0.6862745098039216,0.6666342601594399
994,102.86,0.37,0.6862745098039216,1.0
1004,85.71,0.38,0.6862745098039216,0.83326852031888
1014,85.71,0.39,0.6862745098039216,0.83326852031888
1024,85.71,0.4,0.6862745098039216,0.83326852031888
1034,85.71,0.41000000000000003,0.6862745098039216,0.83326852031888
1044,102.86,0.42,0.6862745098039216,1.0
1054,85.71,0.43,0.6862745098039216,0.83326852031888
1064,85.71,0.44,0.6862745098039216,0.83326852031888
1074,85.71,0.45,0.6862745098039216,0.83326852031888
1084,85.71,0.46,0.6862745098039216,0.83326852031888
1094,102.86,0.47000000000000003,0.6862745098039216,1.0
1104,85.71,0.48,0.6862745098039216,0.83326852031888
1114,85.71,0.49,0.6862745098039216,0.83326852031888
1124,85.71,0.5,0.6862745098039216,0.83326852031888
1134,102.86,0.51,0.6862745098039216,1.0
1144,85.71,0.52,0.6862745098039216,0.83326852031888
1154,85.71,0.53,0.6862745098039216,0.83326852031888
1164,85.71,0.54,0.6862745098039216,0.83326852031888
1174,85.71,0.55,0.6862745098039216,0.83326852031888
1184,102.86,0.56,0.6862745098039216,1.0
1195,85.71,0.5700000000000001,0.6862745098039216,0.83326852031888
1205,85.71,0.58,0.6862745098039216,0.83326852031888
1215,102.86,0.59,0.6862745098039216,1.0
1225,85.71,0.6,0.6862745098039216,0.83326852031888
1235,85.71,0.61,0.6862745098039216,0.83326852031888
1245,85.71,0.62,0.6862745098039216,0.83326852031888
1255,85.71,0.63,0.6862745098039216,0.83326852031888
1265,102.86,0.64,0.6862745098039216,1.0
1275,85.71,0.65,0.6862745098039216,0.83326852031888
1285,85.71,0.66,0.6862745098039216,0.83326852031888
1295,85.71,0.67,0.6862745098039216,0.83326852031888
1305,102.86,0.68,0.6862745098039216,1.0
1315,85.71,0.6900000000000001,0.6862745098039216,0.83326852031888
1325,85.71,0.7000000000000001,0.6862745098039216,0.83326852031888
1335,85.71,0.71,0.6862745098039216,0.83326852031888
1345,85.71,0.72,0.6862745098039216,0.83326852031888
1355,102.86,0.73,0.6862745098039216,1.0
1366,85.71,0.74,0.6862745098039216,0.83326852031888
1376,85.71,0.75,0.6862745098039216,0.83326852031888
1386,102.86,0.76,0.6862745098039216,1.0
1396,85.71,0.77,0.6862745098039216,0.83326852031888
1406,85.71,0.78,0.6862745098039216,0.83326852031888
1416,85.71,0.79,0.6862745098039216,0.83326852031888
1426,85.71,0.8,0.6862745098039216,0.83326852031888
1436,102.86,0.81,0.6862745098039216,1.0
1446,85.71,0.8200000000000001,0.6862745098039216,0.83326852031888
1456,85.71,0.8300000000000001,0.6862745098039216,0.83326852031888
1466,85.71,0.84,0.6862745098039216,0.83326852031888
1476,85.71,0.85,0.6862745098039216,0.83326852031888
1486,102.86,0.86,0.6862745098039216,1.0
1496,85.71,0.87,0.6862745098039216,0.83326852031888
1506,85.71,0.88,0.6862745098039216,0.83326852031888
1516,85.71,0.89,0.6862745098039216,0.83326852031888
1526,102.86,0.9,0.6862745098039216,1.0
1536,68.57,0.91,0.6862745098039216,0.6666342601594399
1546,102.86,0.92,0.6862745098039216,1.0
1556,85.71,0.93,0.6862745098039216,0.83326852031888
1566,85.71,0.9400000000000001,0.6862745098039216,0.83326852031888
1576,102.86,0.9500000000000001,0.6862745098039216,1.0
1586,68.57,0.96,0.6862745098039216,0.6666342601594399
1596,102.86,0.97,0.6862745098039216,1.0
1606,85.71,0.98,0.6862745098039216,0.83326852031888
1616,85.71,0.99,0.6862745098039216,0.83326852031888
1626,85.71,1.0,0.6862745098039216,0.83326852031888
1636,102.86,1.01,0.6862745098039216,1.0
