time_ms,speed_rpm
4658,85.71
4668,85.71
4678,85.71
4688,85.71
4698,102.86
4708,85.71
4718,85.71
4728,85.71
4738,85.71
4748,102.86
4758,85.71
4769,85.71
4779,102.86
4789,85.71
4799,85.71
4809,85.71
4819,85.71
4829,102.86
4839,85.71
4849,85.71
4859,85.71
4869,85.71
4879,102.86
4889,85.71
4899,85.71
4909,85.71
4919,85.71
4929,102.86
4940,85.71
4950,85.71
4960,85.71
4970,102.86
4980,85.71
4990,85.71
5000,85.71
5010,85.71
5020,102.86
5030,68.57
5040,102.86
5050,85.71
5060,85.71
5070,85.71
5080,102.86
5090,85.71
5100,85.71
5110,85.71
5120,85.71
5130,102.86
5140,85.71
5150,85.71
5160,85.71
5170,85.71
5180,85.71
5190,102.86
5200,85.71
5210,85.71
5220,85.71
5230,85.71
5240,85.71
5250,102.86
5260,85.71
5270,85.71
5281,85.71
5291,102.86
5301,85.71
5311,85.71
5321,102.86
5331,68.57
5341,102.86
5351,85.71
5361,85.71
5371,85.71
5381,85.71
5391,102.86
5401,85.71
5411,85.71
5421,85.71
5431,102.86
5441,85.71
5452,85.71
5462,85.71
5472,102.86
5482,85.71
5492,85.71
5502,85.71
5512,85.71
5522,102.86
5532,85.71
5542,85.71
5552,85.71
5562,85.71
5572,102.86
5582,85.71
5592,85.71
5602,85.71
5612,85.71
5622,85.71
5632,85.71
5642,102.86
5652,85.71
5662,85.71
5672,85.71
5682,102.86
5692,85.71
5702,85.71
5712,85.71
5722,85.71
5732,85.71
5742,102.86
5752,85.71
5762,85.71
5772,85.71
5782,85.71
5793,102.86
5803,85.71
5813,85.71
5823,102.86
5833,85.71
5843,85.71
5853,85.71
5863,85.71
5873,102.86
5883,85.71
5893,85.71
5903,85.71
5913,85.71
5923,85.71
5933,102.86
5943,85.71
5953,85.71
5964,85.71
5974,102.86
5984,85.71
5994,85.71
6004,102.86
6014,68.57
6024,102.86
6034,85.71
6044,85.71
6054,85.71
6064,102.86
6074,85.71
6084,85.71
6094,85.71
6104,85.71
6114,102.86
6124,85.71
6134,85.71
6144,85.71
6154,85.71
6164,102.86
6174,85.71
6184,85.71
6194,85.71
6204,85.71
6214,102.86
6224,68.57
6234,102.86
6244,85.71
6254,85.71
6264,85.71
6274,85.71
6284,102.86
6294,85.71
6305,85.71
6315,102.86
6325,85.71
6335,85.71
6345,85.71
6355,85.71
6365,85.71
6375,102.86
6385,85.71
6395,85.71
6405,85.71
6415,85.71
6425,102.86
6435,85.71
6445,85.71
6455,85.71
6465,85.71
6476,102.86
6486,85.71
6496,85.71
6506,102.86
6516,85.71
6526,85.71
6536,85.71
6546,85.71
6556,102.86
6566,68.57
6576,102.86
6586,85.71
6596,85.71
6606,85.71
6616,85.71
6626,102.86
6636,85.71
6646,85.71
6656,85.71
6666,85.71
6676,102.86
6686,85.71
6696,85.71
6706,85.71
6716,85.71
6726,102.86
6736,85.71
6746,85.71
6756,85.71
6766,85.71
6776,85.71
6786,102.86
6796,85.71
6806,85.71
6817,85.71
6827,102.86
6837,85.71
6847,85.71
6857,102.86
6867,68.57
6877,102.86
6887,85.71
6897,85.71
6907,85.71
6917,85.71
6927,102.86
6937,85.71
6947,85.71
6957,85.71
6967,85.71
