time_ms,speed_rpm
10,0.00
20,0.00
30,0.00
40,0.00
50,0.00
60,0.00
70,0.00
80,0.00
90,0.00
100,0.00
110,0.00
120,0.00
130,0.00
140,0.00
150,0.00
160,0.00
171,0.00
181,0.00
191,0.00
201,0.00
211,0.00
221,0.00
231,0.00
241,0.00
251,0.00
261,0.00
271,0.00
281,0.00
291,0.00
301,0.00
311,0.00
321,0.00
331,0.00
342,0.00
352,0.00
362,0.00
372,0.00
382,0.00
392,0.00
402,0.00
412,0.00
422,0.00
432,0.00
442,0.00
452,0.00
462,0.00
472,0.00
482,0.00
492,0.00
502,0.00
512,0.00
522,0.00
532,0.00
542,0.00
552,0.00
562,0.00
572,0.00
582,0.00
592,0.00
602,0.00
612,0.00
622,0.00
632,0.00
642,0.00
652,0.00
662,0.00
672,17.14
683,51.43
693,68.57
703,102.86
713,120.00
723,137.14
733,137.14
743,154.29
753,154.29
763,171.43
773,171.43
783,171.43
793,188.57
803,188.57
813,154.29
823,188.57
833,205.71
843,188.57
854,188.57
864,188.57
874,188.57
884,205.71
894,188.57
904,171.43
914,188.57
924,205.71
934,188.57
944,171.43
954,188.57
964,205.71
974,188.57
984,171.43
994,205.71
1004,188.57
1014,188.57
1024,171.43
1034,205.71
1044,188.57
1054,188.57
1064,205.71
1074,171.43
1084,188.57
1094,205.71
1104,188.57
1114,171.43
1124,188.57
1134,205.71
1144,188.57
1154,171.43
1164,205.71
1174,188.57
1184,188.57
1195,205.71
1205,188.57
1215,188.57
1225,205.71
1235,188.57
1245,171.43
1255,188.57
1265,205.71
1275,188.57
1285,171.43
1295,205.71
1305,188.57
1315,188.57
1325,171.43
1335,205.71
1345,188.57
1355,188.57
1366,205.71
1376,188.57
1386,188.57
1396,205.71
1406,188.57
1416,171.43
1426,205.71
1436,188.57
1446,188.57
1456,171.43
1466,205.71
1476,188.57
1486,188.57
1496,188.57
1506,188.57
1516,188.57
1526,205.71
1536,171.43
1546,188.57
1556,188.57
1566,205.71
1576,188.57
1586,171.43
1596,205.71
1606,188.57
1616,188.57
1626,171.43
1636,205.71
1646,188.57
1656,188.57
