time_ms,speed_rpm
10,0.00
20,0.00
30,0.00
40,0.00
50,0.00
60,0.00
70,0.00
80,0.00
90,0.00
100,0.00
110,0.00
120,0.00
130,0.00
140,0.00
150,0.00
160,0.00
171,0.00
181,0.00
191,0.00
201,0.00
211,0.00
221,0.00
231,0.00
241,0.00
251,0.00
261,0.00
271,0.00
281,0.00
291,0.00
301,0.00
311,0.00
321,0.00
331,0.00
342,0.00
352,0.00
362,0.00
372,0.00
382,0.00
392,0.00
402,0.00
412,0.00
422,0.00
432,0.00
442,0.00
452,0.00
462,0.00
472,0.00
482,0.00
492,0.00
502,0.00
512,0.00
522,0.00
532,0.00
542,0.00
552,0.00
562,0.00
572,0.00
582,0.00
592,0.00
602,0.00
612,0.00
622,0.00
632,17.14
642,0.00
652,17.14
662,34.29
672,17.14
683,51.43
693,34.29
703,51.43
713,51.43
723,51.43
733,51.43
743,68.57
753,68.57
763,68.57
773,68.57
783,85.71
793,68.57
803,85.71
813,68.57
823,85.71
833,85.71
843,85.71
854,85.71
864,85.71
874,85.71
884,85.71
894,102.86
904,68.57
914,85.71
924,102.86
934,85.71
944,85.71
954,85.71
964,85.71
974,102.86
984,68.57
994,102.86
1004,85.71
1014,85.71
1024,85.71
1034,85.71
1044,102.86
1054,85.71
1064,85.71
1074,85.71
1084,85.71
1094,102.86
1104,85.71
1114,85.71
1124,85.71
1134,102.86
1144,85.71
1154,85.71
1164,85.71
1174,85.71
1184,102.86
1195,85.71
1205,85.71
1215,102.86
1225,85.71
1235,85.71
1245,85.71
1255,85.71
1265,102.86
1275,85.71
1285,85.71
1295,85.71
1305,102.86
1315,85.71
1325,85.71
1335,85.71
1345,85.71
1355,102.86
1366,85.71
1376,85.71
1386,102.86
1396,85.71
1406,85.71
1416,85.71
1426,85.71
1436,102.86
1446,85.71
1456,85.71
1466,85.71
1476,85.71
1486,102.86
1496,85.71
1506,85.71
1516,85.71
1526,102.86
1536,68.57
1546,102.86
1556,85.71
1566,85.71
1576,102.86
1586,68.57
1596,102.86
1606,85.71
1616,85.71
1626,85.71
1636,102.86
1646,85.71
1656,85.71
