time_ms,speed_rpm
10,0.00
20,0.00
30,0.00
40,0.00
50,0.00
60,0.00
70,0.00
80,0.00
90,0.00
100,0.00
110,0.00
120,0.00
130,0.00
140,0.00
150,0.00
160,0.00
171,0.00
181,0.00
191,0.00
201,0.00
211,0.00
221,0.00
231,0.00
241,0.00
251,0.00
261,0.00
271,0.00
281,0.00
291,0.00
301,0.00
311,0.00
321,0.00
331,0.00
342,0.00
352,0.00
362,0.00
372,0.00
382,0.00
392,0.00
402,0.00
412,0.00
422,0.00
432,0.00
442,0.00
452,0.00
462,0.00
472,0.00
482,0.00
492,0.00
502,0.00
512,0.00
522,0.00
532,0.00
542,0.00
552,0.00
562,0.00
572,0.00
582,0.00
592,0.00
602,0.00
612,0.00
622,0.00
632,0.00
642,0.00
652,0.00
662,0.00
672,0.00
683,0.00
693,0.00
703,0.00
713,0.00
723,0.00
733,0.00
743,0.00
753,0.00
763,0.00
773,0.00
783,0.00
793,0.00
803,0.00
813,0.00
823,0.00
833,0.00
843,0.00
854,0.00
864,0.00
874,0.00
884,0.00
894,51.43
904,137.14
914,222.86
924,291.43
934,342.86
944,360.00
954,411.43
964,445.71
974,462.86
984,428.57
994,497.14
1004,480.00
1014,514.29
1024,445.71
1034,497.14
1044,514.29
1054,497.14
1064,497.14
1074,462.86
1084,497.14
1094,497.14
1104,514.29
1114,445.71
1124,497.14
1134,514.29
1144,497.14
1154,445.71
1164,514.29
1174,497.14
1184,497.14
1195,497.14
1205,497.14
1215,514.29
1225,497.14
1235,497.14
1245,445.71
1255,514.29
1265,497.14
1275,497.14
1285,445.71
1295,514.29
1305,497.14
1315,497.14
1325,445.71
1335,497.14
1345,514.29
1355,497.14
1366,497.14
1376,497.14
1386,497.14
1396,514.29
1406,497.14
1416,445.71
1426,497.14
1436,497.14
1446,514.29
1456,445.71
1466,497.14
1476,497.14
1486,497.14
1496,462.86
1506,497.14
1516,497.14
1526,497.14
1536,445.71
1546,497.14
1556,497.14
1566,514.29
1576,497.14
1586,445.71
1596,497.14
1606,497.14
1616,514.29
1626,445.71
1636,497.14
1646,497.14
1656,514.29
